"New housing price index, monthly 1 2 3 4 5"
"Frequency: Monthly"
"Table: 18-10-0205-01 (formerly CANSIM 327-0056)"
"Release date: 2023-05-18"
"Geography: Canada, Geographical region of Canada, Province or territory, Census metropolitan area, Census agglomeration"
""
""

,"New housing price indexes","Total (house and land)","Symbol","House only","Symbol","Land only","Symbol"
"Geography","Reference period"
,,"Index, 201612=100",,,,,
,"September 1994","50.0","","51.7","","45.7","E"
,"October 1994","50.0","","51.7","","45.7","E"
,"November 1994","50.1","","51.8","","45.7","E"
,"December 1994","50.1","","51.8","","45.7","E"
,"January 1995","50.1","","51.8","","45.7","E"
,"February 1995","50.3","","52.1","","46.0","E"
,"March 1995","50.3","","52.1","","46.0","E"
,"April 1995","50.1","","51.9","","46.0","E"
,"May 1995","50.1","","51.9","","46.0","E"
,"June 1995","50.1","","51.9","","46.0","E"
,"July 1995","50.1","","51.9","","46.0","E"
,"August 1995","49.7","","51.1","","46.2","E"
,"September 1995","49.7","","51.2","","46.2","E"
,"October 1995","49.7","","51.2","","46.2","E"
,"November 1995","49.8","","51.3","","46.2","E"
,"December 1995","49.8","","51.3","","46.2","E"
,"January 1996","49.8","","51.3","","46.2","E"
,"February 1996","49.7","","51.1","","46.2","E"
,"March 1996","49.6","","50.9","","46.2","E"
,"April 1996","49.6","","50.9","","46.2","E"
,"May 1996","49.4","","50.7","","46.2","E"
,"June 1996","49.4","","50.7","","46.2","E"
,"July 1996","49.4","","50.7","","46.2","E"
,"August 1996","49.4","","50.7","","46.2","E"
,"September 1996","49.4","","50.7","","46.2","E"
,"October 1996","49.4","","50.7","","46.2","E"
,"November 1996","49.3","","50.6","","46.1","E"
,"December 1996","49.3","","50.6","","46.1","E"
,"January 1997","49.3","","50.6","","46.1","E"
,"February 1997","49.3","","50.6","","46.1","E"
,"March 1997","49.3","","50.6","","46.1","E"
,"April 1997","47.9","","49.3","","44.5","E"
,"May 1997","48.4","","49.8","","45.1","E"
,"June 1997","48.3","","49.6","","45.1","E"
,"July 1997","48.3","","49.6","","45.1","E"
,"August 1997","48.1","","49.3","","45.1","E"
,"September 1997","48.1","","49.3","","45.1","E"
,"October 1997","48.1","","49.3","","45.1","E"
,"November 1997","48.0","","49.2","","45.1","E"
,"December 1997","48.1","","49.3","","45.1","E"
,"January 1998","48.1","","49.3","","45.1","E"
,"February 1998","48.1","","49.3","","45.1","E"
,"March 1998","48.1","","49.3","","45.1","E"
,"April 1998","48.0","","49.1","","45.1","E"
,"May 1998","47.8","","48.8","","45.1","E"
,"June 1998","47.7","","48.7","","45.1","E"
,"July 1998","47.7","","48.7","","45.1","E"
,"August 1998","47.7","","48.7","","45.1","E"
,"September 1998","47.7","","48.7","","45.1","E"
,"October 1998","47.7","","48.7","","45.1","E"
,"November 1998","47.6","","48.6","","45.1","E"
,"December 1998","47.4","","48.3","","45.1","E"
,"January 1999","47.9","","48.9","","45.1","E"
,"February 1999","47.9","","48.9","","45.1","E"
,"March 1999","47.9","","48.9","","45.1","E"
,"April 1999","47.9","","48.9","","45.1","E"
,"May 1999","47.9","","48.9","","45.1","E"
,"June 1999","47.9","","48.9","","45.1","E"
,"July 1999","47.9","","48.9","","45.1","E"
,"August 1999","48.3","","49.5","","45.1","E"
,"September 1999","48.3","","49.5","","45.1","E"
,"October 1999","48.3","","49.6","","45.1","E"
,"November 1999","47.8","","48.7","","45.1","E"
,"December 1999","47.8","","48.7","","45.1","E"
,"January 2000","47.9","","48.9","","45.1","E"
,"February 2000","48.4","","49.7","","45.1","E"
,"March 2000","48.5","","49.8","","45.1","E"
,"April 2000","48.5","","49.8","","45.1","E"
,"May 2000","49.0","","50.5","","45.1","E"
,"June 2000","49.1","","50.6","","45.1","E"
,"July 2000","49.4","","51.1","","45.1","E"
,"August 2000","49.5","","51.2","","45.3","E"
,"September 2000","49.5","","51.1","","45.3","E"
,"October 2000","49.5","","51.1","","45.3","E"
,"November 2000","49.5","","51.1","","45.3","E"
,"December 2000","49.5","","51.1","","45.3","E"
,"January 2001","49.5","","51.1","","45.3","E"
,"February 2001","49.5","","51.1","","45.3","E"
,"March 2001","49.5","","51.1","","45.3","E"
,"April 2001","49.5","","51.1","","45.3","E"
,"May 2001","49.6","","51.3","","45.3","E"
,"June 2001","49.4","","51.0","","45.3","E"
,"July 2001","50.6","","52.5","","45.8","E"
,"August 2001","50.6","","52.5","","45.8","E"
,"September 2001","50.6","","52.5","","45.8","E"
,"October 2001","50.6","","52.5","","45.8","E"
,"November 2001","50.6","","52.5","","45.8","E"
,"December 2001","50.6","","52.5","","45.8","E"
,"January 2002","50.6","","52.2","","46.3","E"
,"February 2002","51.2","","52.9","","46.8","E"
,"March 2002","51.4","","53.1","","47.0","E"
,"April 2002","51.3","","52.9","","47.0","E"
,"May 2002","52.0","","53.4","","48.2","E"
,"June 2002","52.1","","53.7","","48.3","E"
,"July 2002","52.3","","53.9","","48.3","E"
,"August 2002","52.6","","54.0","","49.0","E"
,"September 2002","53.1","","54.7","","49.1","E"
,"October 2002","53.2","","54.9","","49.1","E"
,"November 2002","53.3","","54.7","","49.9","E"
,"December 2002","53.4","","54.9","","49.7","E"
,"January 2003","53.5","","55.1","","49.7","E"
,"February 2003","53.7","","55.4","","49.7","E"
,"March 2003","53.7","","55.4","","49.7","E"
,"April 2003","54.0","","55.8","","49.8","E"
,"May 2003","54.1","","55.9","","49.8","E"
,"June 2003","54.3","","56.1","","50.3","E"
,"July 2003","54.3","","56.1","","50.3","E"
,"August 2003","54.5","","56.4","","50.3","E"
,"September 2003","55.3","","57.3","","50.7","E"
,"October 2003","55.3","","57.2","","50.9","E"
,"November 2003","55.3","","57.2","","50.9","E"
,"December 2003","55.5","","57.5","","50.9","E"
,"January 2004","55.4","","57.4","","50.9","E"
,"February 2004","55.7","","57.6","","51.3","E"
,"March 2004","56.0","","57.8","","51.7","E"
,"April 2004","56.2","","58.1","","51.7","E"
,"May 2004","56.8","","58.9","","51.9","E"
,"June 2004","57.2","","59.4","","52.0","E"
,"July 2004","57.9","","59.8","","53.1","E"
,"August 2004","58.3","","60.4","","53.1","E"
,"September 2004","58.5","","60.7","","53.1","E"
,"October 2004","58.5","","60.7","","53.1","E"
,"November 2004","59.2","","61.2","","55.0","E"
,"December 2004","59.2","","61.2","","55.0","E"
,"January 2005","59.7","","61.7","","55.2","E"
,"February 2005","59.9","","62.0","","55.2","E"
,"March 2005","60.0","","62.1","","55.4","E"
,"April 2005","59.9","","62.0","","55.4","E"
,"May 2005","60.7","","63.0","","55.5","E"
,"June 2005","60.7","","63.0","","55.5","E"
,"July 2005","60.7","","63.0","","55.5","E"
,"August 2005","60.8","","63.1","","55.5","E"
,"September 2005","61.1","","63.6","","55.5","E"
,"October 2005","61.4","","64.0","","55.5","E"
,"November 2005","61.4","","64.0","","55.5","E"
,"December 2005","61.5","","64.1","","55.5","E"
,"January 2006","61.5","","64.1","","55.5","E"
,"February 2006","61.9","","64.4","","56.1","E"
,"March 2006","61.8","","64.3","","56.1","E"
,"April 2006","61.8","","64.3","","56.1","E"
,"May 2006","62.1","","64.5","","56.6","E"
,"June 2006","62.1","","64.5","","56.6","E"
,"July 2006","63.8","","66.5","","57.7","E"
,"August 2006","63.9","","66.4","","58.1","E"
,"September 2006","63.6","","66.1","","58.1","E"
,"October 2006","63.6","","66.1","","58.1","E"
,"November 2006","64.0","","66.6","","58.1","E"
,"December 2006","64.1","","66.7","","58.1","E"
,"January 2007","64.1","","66.7","","58.1","E"
,"February 2007","64.1","","66.7","","58.1","E"
,"March 2007","64.3","","66.9","","58.6","E"
,"April 2007","64.2","","66.9","","58.1","E"
,"May 2007","65.1","","67.7","","59.2","E"
,"June 2007","65.1","","67.7","","59.2","E"
,"July 2007","65.9","","68.4","","60.3","E"
,"August 2007","66.7","","69.5","","60.3","E"
,"September 2007","67.3","","70.6","","59.8","E"
,"October 2007","67.9","","71.1","","60.3","E"
,"November 2007","68.3","","71.8","","60.3","E"
,"December 2007","69.2","","72.6","","61.3","E"
,"January 2008","69.9","","73.5","","61.6","E"
,"February 2008","72.0","","75.4","","63.8","E"
,"March 2008","72.1","","75.6","","63.8","E"
,"April 2008","74.6","","77.9","","66.2","E"
,"May 2008","77.4","","80.6","","69.1","E"
,"June 2008","79.6","","81.9","","74.0","E"
,"July 2008","82.0","","84.5","","75.6","E"
,"August 2008","82.6","","85.3","","75.9","E"
,"September 2008","82.6","","85.3","","75.9","E"
,"October 2008","83.0","","85.9","","75.9","E"
,"November 2008","85.9","","89.8","","75.9","E"
,"December 2008","86.0","","90.1","","75.9","E"
,"January 2009","86.8","","90.7","","76.9","E"
,"February 2009","86.7","","90.6","","76.9","E"
,"March 2009","87.1","","91.1","","76.9","E"
,"April 2009","87.3","","91.0","","78.2","E"
,"May 2009","87.3","","91.0","","78.2","E"
,"June 2009","87.7","","90.7","","80.4","E"
,"July 2009","87.7","","90.7","","80.4","E"
,"August 2009","88.7","","89.6","","86.1","E"
,"September 2009","88.7","","89.6","","86.1","E"
,"October 2009","88.7","","89.6","","86.1","E"
